"pk_entity";"pk_birth";"date_birth";"pk_death";"date_death"
6492762;7508279;"(1638, 9, 6)";7745976;"(1638, 1, 1)"
6492652;7508177;"(1634, 1, 1)";7745874;"(1634, 1, 1)"
6492765;7508282;"(1638, 1, 1)";7745979;"(1638, 1, 1)"
6492655;7508179;"(1634, 1, 1)";7745876;"(1634, 1, 1)"
6492766;7508283;"(1638, 9, 1)";7745980;"(1638, 1, 1)"
6492656;7508180;"(1634, 5, 1)";7745877;"(1634, 1, 1)"
6492771;7508287;"(1638, 1, 1)";7745984;"(1638, 1, 1)"
6492774;7508289;"(1639, 1, 1)";7745986;"(1639, 1, 1)"
6492775;7508290;"(1639, 3, 1)";7745987;"(1639, 1, 1)"
6492776;7508291;"(1639, 1, 1)";7745988;"(1639, 1, 1)"
6492671;7508197;"(1635, 7, 1)";7745894;"(1635, 1, 1)"
6492672;7508198;"(1635, 1, 1)";7745895;"(1635, 1, 1)"
6492673;7508199;"(1635, 1, 1)";7745896;"(1635, 1, 1)"
6492678;7508204;"(1635, 1, 1)";7745901;"(1635, 1, 1)"
6492670;7508196;"(1635, 1, 1)";7745893;"(1635, 1, 1)"
6492687;7508212;"(1635, 1, 1)";7745909;"(1635, 1, 1)"
6492696;7508261;"(1638, 1, 1)";7745958;"(1638, 1, 1)"
6492702;7508223;"(1636, 3, 1)";7745920;"(1636, 1, 1)"
6492708;7508227;"(1636, 8, 1)";7745924;"(1636, 1, 1)"
6492709;7508228;"(1636, 9, 1)";7745925;"(1636, 1, 1)"
6492755;7508272;"(1638, 1, 1)";7745969;"(1638, 1, 1)"
6492778;7508293;"(1639, 5, 1)";7745990;"(1639, 1, 1)"
6492785;7508299;"(1639, 1, 1)";7745996;"(1639, 1, 1)"
6492791;7508304;"(1639, 1, 1)";7746001;"(1639, 1, 1)"
6492792;7508305;"(1639, 9, 1)";7746002;"(1639, 1, 1)"
6492796;7508308;"(1639, 1, 1)";7746005;"(1639, 1, 1)"
6492803;7508314;"(1640, 1, 1)";7746011;"(1640, 1, 1)"
6492806;7508317;"(1640, 1, 1)";7746014;"(1640, 1, 1)"
6492808;7508319;"(1640, 1, 1)";7746016;"(1640, 1, 1)"
6492813;7508324;"(1640, 1, 1)";7746021;"(1640, 1, 1)"
6492816;7508327;"(1640, 12, 1)";7746024;"(1640, 1, 1)"
6492820;7508330;"(1641, 1, 1)";7746027;"(1641, 1, 1)"
6492821;7508331;"(1641, 1, 1)";7746028;"(1641, 1, 1)"
6492825;7508335;"(1641, 1, 1)";7746032;"(1641, 1, 1)"
6492828;7508337;"(1641, 4, 16)";7746034;"(1641, 1, 1)"
6492833;7508342;"(1641, 1, 1)";7746039;"(1641, 1, 1)"
6492836;7508345;"(1641, 1, 1)";7746042;"(1641, 1, 1)"
6492841;7508349;"(1641, 12, 21)";7746046;"(1641, 1, 1)"
6492842;7508350;"(1642, 1, 1)";7746047;"(1642, 1, 1)"
6492845;7508353;"(1642, 1, 1)";7746050;"(1642, 1, 1)"
6492849;7508357;"(1642, 1, 1)";7746054;"(1642, 1, 1)"
6492855;7508363;"(1642, 1, 1)";7746060;"(1642, 1, 1)"
6492874;7508380;"(1643, 1, 1)";7746077;"(1643, 1, 1)"
6492877;7508382;"(1643, 1, 1)";7746079;"(1643, 1, 1)"
6508054;7510021;"(1785, 1, 1)";7747720;"(1785, 1, 1)"
6527258;7511659;"(1859, 6, 2)";7749373;"(1859, 2, 1)"
6535328;7516720;"(1936, 3, 27)";7754443;"(1907, 3, 11)"
6519485;7523746;"(1868, 1, 1)";7761477;"(1834, 1, 1)"
6519580;7523840;"(1654, 1, 1)";7761571;"(1654, 1, 1)"
6519679;7523941;"(1621, 1, 1)";7761673;"(1621, 1, 1)"
6519759;7524020;"(1634, 1, 1)";7761752;"(1634, 1, 1)"
6519847;7524116;"(1606, 1, 1)";7761848;"(1606, 1, 1)"
6520142;7524444;"(1854, 1, 1)";7762176;"(1834, 1, 1)"
6521310;7525602;"(1833, 10, 9)";7763357;"(1752, 1, 1)"
6523032;7527534;"(1878, 1, 1)";7765289;"(1848, 1, 1)"
6523036;7527535;"(1883, 1, 1)";7765290;"(1848, 1, 1)"
6523507;7528627;"(1614, 1, 1)";7766397;"(1614, 1, 1)"
6523508;7528628;"(1614, 1, 1)";7766398;"(1614, 1, 1)"
6510695;7529493;"(1545, 1, 1)";7767271;"(1545, 1, 1)"
6510695;7529493;"(1588, 1, 1)";7767271;"(1545, 1, 1)"
6510695;7529493;"(1588, 1, 1)";7767271;"(1588, 1, 1)"
6510695;7529494;"(1545, 1, 1)";7767271;"(1545, 1, 1)"
6510695;7529494;"(1588, 1, 1)";7767271;"(1545, 1, 1)"
6510695;7529494;"(1588, 1, 1)";7767271;"(1588, 1, 1)"
6510695;7529493;"(1545, 1, 1)";7767272;"(1545, 1, 1)"
6510695;7529493;"(1588, 1, 1)";7767272;"(1545, 1, 1)"
6510695;7529493;"(1588, 1, 1)";7767272;"(1588, 1, 1)"
6510695;7529494;"(1545, 1, 1)";7767272;"(1545, 1, 1)"
6510695;7529494;"(1588, 1, 1)";7767272;"(1545, 1, 1)"
6510695;7529494;"(1588, 1, 1)";7767272;"(1588, 1, 1)"
6530268;7530506;"(1851, 1, 1)";7768285;"(1823, 2, 1)"
6543863;7531139;"(1738, 6, 28)";7768920;"(1738, 6, 28)"
6530488;7531919;"(1579, 8, 23)";7769702;"(1579, 8, 23)"
6533549;7541478;"(1924, 1, 1)";7780067;"(1924, 1, 1)"
6532058;7489381;"(1707, 1, 1)";7726921;"(1707, 1, 1)"
6511295;7489387;"(1695, 1, 1)";7726937;"(1655, 1, 1)"
6540825;7490659;"(1696, 9, 12)";7728294;"(1639, 1, 20)"
6486545;7502648;"(1674, 1, 1)";7740355;"(1670, 1, 1)"
6490415;7506171;"(1673, 1, 1)";7743878;"(1643, 1, 1)"
6527028;7512077;"(1878, 1, 1)";7749794;"(1848, 1, 1)"
6508179;7512571;"(1853, 1, 1)";7750289;"(1839, 1, 1)"
6516731;7520836;"(1902, 1, 1)";7758558;"(1885, 1, 1)"
6522521;7526845;"(98, 1, 1)";7764598;"(54, 1, 1)"
6522969;7527465;"(1880, 1, 1)";7765219;"(1867, 1, 1)"
6523416;7528503;"(1555, 1, 1)";7766273;"(1521, 1, 1)"
