"pk_entity";"pk_birth";"date_birth";"pk_death";"date_death"
6488885;7504794;"(1681, 11, 24)";7742501;"(1681, 1, 1)"
6488887;7504796;"(1670, 1, 1)";7742503;"(1670, 1, 1)"
6488919;7504823;"(1676, 1, 1)";7742530;"(1676, 1, 1)"
6488970;7504869;"(1681, 1, 1)";7742576;"(1681, 1, 1)"
6489024;7504915;"(1674, 1, 1)";7742622;"(1674, 1, 1)"
6489005;7504898;"(1681, 7, 11)";7742605;"(1681, 1, 1)"
6488991;7504926;"(1679, 1, 1)";7742633;"(1679, 1, 1)"
6489041;7504932;"(1684, 3, 5)";7742639;"(1684, 1, 1)"
6489190;7505067;"(1708, 1, 1)";7742774;"(1708, 1, 1)"
6489045;7504936;"(1684, 4, 7)";7742643;"(1684, 1, 1)"
6489047;7504938;"(1684, 1, 1)";7742645;"(1684, 1, 1)"
6489070;7504958;"(1684, 1, 1)";7742665;"(1684, 1, 1)"
6489193;7505070;"(1709, 1, 1)";7742777;"(1709, 1, 1)"
6489194;7505071;"(1709, 1, 1)";7742778;"(1709, 1, 1)"
6489199;7505073;"(1709, 1, 1)";7742780;"(1709, 1, 1)"
6489200;7505074;"(1709, 1, 1)";7742781;"(1709, 1, 1)"
6489201;7505075;"(1710, 1, 1)";7742782;"(1710, 1, 1)"
6489202;7505076;"(1710, 1, 1)";7742783;"(1710, 1, 1)"
6489085;7504971;"(1684, 2, 21)";7742678;"(1684, 1, 1)"
6489203;7505077;"(1710, 1, 1)";7742784;"(1710, 1, 1)"
6489205;7505078;"(1711, 1, 1)";7742785;"(1711, 1, 1)"
6489206;7505079;"(1711, 1, 1)";7742786;"(1711, 1, 1)"
6489207;7505080;"(1712, 1, 1)";7742787;"(1712, 1, 1)"
6489123;7505005;"(1684, 1, 1)";7742712;"(1684, 1, 1)"
6489107;7504991;"(1684, 1, 1)";7742698;"(1684, 1, 1)"
6489109;7504993;"(1684, 1, 1)";7742700;"(1684, 1, 1)"
6489114;7504997;"(1684, 1, 1)";7742704;"(1684, 1, 1)"
6489162;7505040;"(1699, 1, 1)";7742747;"(1699, 1, 1)"
6489164;7505042;"(1700, 1, 1)";7742749;"(1700, 1, 1)"
6489166;7505043;"(1700, 1, 1)";7742750;"(1700, 1, 1)"
6489169;7505046;"(1702, 1, 1)";7742753;"(1702, 1, 1)"
6489170;7505047;"(1702, 1, 1)";7742754;"(1702, 1, 1)"
6489171;7505048;"(1703, 1, 1)";7742755;"(1703, 1, 1)"
6489172;7505049;"(1704, 1, 1)";7742756;"(1704, 1, 1)"
6489127;7505008;"(1684, 1, 1)";7742715;"(1684, 1, 1)"
6489173;7505050;"(1704, 1, 1)";7742757;"(1704, 1, 1)"
6489174;7505051;"(1704, 1, 1)";7742758;"(1704, 1, 1)"
6489175;7505052;"(1704, 1, 1)";7742759;"(1704, 1, 1)"
6489176;7505053;"(1705, 1, 1)";7742760;"(1705, 1, 1)"
6489177;7505054;"(1706, 1, 1)";7742761;"(1706, 1, 1)"
6489178;7505055;"(1706, 1, 1)";7742762;"(1706, 1, 1)"
6489180;7505057;"(1706, 1, 1)";7742764;"(1706, 1, 1)"
6489182;7505059;"(1707, 1, 1)";7742766;"(1707, 1, 1)"
6489129;7505010;"(1684, 1, 1)";7742717;"(1684, 1, 1)"
6489183;7505060;"(1707, 1, 1)";7742767;"(1707, 1, 1)"
6489184;7505061;"(1707, 1, 1)";7742768;"(1707, 1, 1)"
6489185;7505062;"(1707, 1, 1)";7742769;"(1707, 1, 1)"
6489187;7505064;"(1707, 1, 1)";7742771;"(1707, 1, 1)"
6489135;7505016;"(1692, 1, 1)";7742723;"(1692, 1, 1)"
6489189;7505066;"(1707, 1, 1)";7742773;"(1707, 1, 1)"
6489210;7505083;"(1712, 1, 1)";7742790;"(1712, 1, 1)"
6489214;7505086;"(1712, 1, 1)";7742793;"(1712, 1, 1)"
6489215;7505087;"(1712, 1, 1)";7742794;"(1712, 1, 1)"
6489136;7505017;"(1693, 1, 1)";7742724;"(1693, 1, 1)"
6489219;7505090;"(1712, 1, 1)";7742797;"(1712, 1, 1)"
6489137;7505018;"(1693, 1, 1)";7742725;"(1693, 1, 1)"
6489138;7505019;"(1693, 1, 1)";7742726;"(1693, 1, 1)"
6489139;7505020;"(1693, 1, 1)";7742727;"(1693, 1, 1)"
6489141;7505022;"(1694, 1, 1)";7742729;"(1694, 1, 1)"
6489142;7505023;"(1695, 1, 1)";7742730;"(1695, 1, 1)"
6489143;7505024;"(1696, 1, 1)";7742731;"(1696, 1, 1)"
6489145;7505025;"(1696, 1, 1)";7742732;"(1696, 1, 1)"
6489220;7505091;"(1713, 1, 1)";7742798;"(1713, 1, 1)"
6489221;7505092;"(1713, 1, 1)";7742799;"(1713, 1, 1)"
6489223;7505094;"(1714, 1, 1)";7742801;"(1714, 1, 1)"
6489224;7505095;"(1714, 1, 1)";7742802;"(1714, 1, 1)"
6489146;7505026;"(1697, 1, 1)";7742733;"(1697, 1, 1)"
6489226;7505097;"(1715, 1, 1)";7742804;"(1715, 1, 1)"
6489147;7505027;"(1697, 1, 1)";7742734;"(1697, 1, 1)"
6489229;7505100;"(1716, 1, 1)";7742807;"(1716, 1, 1)"
6489230;7505101;"(1716, 1, 1)";7742808;"(1716, 1, 1)"
6489148;7505028;"(1697, 1, 1)";7742735;"(1697, 1, 1)"
6489232;7505103;"(1716, 1, 1)";7742810;"(1716, 1, 1)"
6489149;7505029;"(1697, 1, 1)";7742736;"(1697, 1, 1)"
6489233;7505104;"(1716, 1, 1)";7742811;"(1716, 1, 1)"
6489234;7505105;"(1716, 1, 1)";7742812;"(1716, 1, 1)"
6489153;7505032;"(1698, 1, 1)";7742739;"(1698, 1, 1)"
6489235;7505106;"(1716, 1, 1)";7742813;"(1716, 1, 1)"
6489236;7505107;"(1716, 1, 1)";7742814;"(1716, 1, 1)"
6489154;7505033;"(1698, 1, 1)";7742740;"(1698, 1, 1)"
6489237;7505108;"(1717, 1, 1)";7742815;"(1717, 1, 1)"
6489238;7505109;"(1717, 1, 1)";7742816;"(1717, 1, 1)"
6489157;7505036;"(1699, 1, 1)";7742743;"(1699, 1, 1)"
6489239;7505110;"(1717, 1, 1)";7742817;"(1717, 1, 1)"
6489241;7505111;"(1717, 1, 1)";7742818;"(1717, 1, 1)"
6489242;7505112;"(1718, 1, 1)";7742819;"(1718, 1, 1)"
6489275;7505141;"(1684, 1, 1)";7742848;"(1684, 1, 1)"
6489195;7505113;"(1718, 1, 1)";7742820;"(1718, 1, 1)"
6489196;7505114;"(1718, 1, 1)";7742821;"(1718, 1, 1)"
6489244;7505115;"(1718, 1, 1)";7742822;"(1718, 1, 1)"
6489245;7505116;"(1718, 1, 1)";7742823;"(1718, 1, 1)"
6489247;7505117;"(1718, 1, 1)";7742824;"(1718, 1, 1)"
6489286;7505151;"(1684, 1, 1)";7742858;"(1684, 1, 1)"
6489649;7505481;"(1669, 1, 1)";7743188;"(1669, 1, 1)"
6489584;7505422;"(1668, 1, 1)";7743129;"(1668, 1, 1)"
6489617;7505452;"(1668, 1, 1)";7743159;"(1668, 1, 1)"
6489564;7505405;"(1667, 1, 1)";7743112;"(1667, 1, 1)"
6489566;7505407;"(1667, 1, 1)";7743114;"(1667, 1, 1)"
6489571;7505411;"(1667, 1, 1)";7743118;"(1667, 1, 1)"
6489572;7505412;"(1667, 1, 1)";7743119;"(1667, 1, 1)"
6489573;7505413;"(1667, 1, 1)";7743120;"(1667, 1, 1)"
6489574;7505414;"(1667, 1, 1)";7743121;"(1667, 1, 1)"
6489963;7505765;"(1685, 1, 1)";7743472;"(1685, 1, 1)"
6489632;7505465;"(1668, 1, 1)";7743172;"(1668, 1, 1)"
6489633;7505466;"(1668, 1, 1)";7743173;"(1668, 1, 1)"
6489638;7505471;"(1669, 1, 1)";7743178;"(1669, 1, 1)"
6489640;7505473;"(1669, 1, 1)";7743180;"(1669, 1, 1)"
6489651;7505483;"(1669, 1, 1)";7743190;"(1669, 1, 1)"
6489738;7505562;"(1718, 1, 1)";7743269;"(1718, 1, 1)"
6489739;7505563;"(1704, 1, 1)";7743270;"(1704, 1, 1)"
6489741;7505564;"(1694, 1, 1)";7743271;"(1694, 1, 1)"
6489841;7505654;"(1676, 1, 1)";7743361;"(1676, 1, 1)"
6489949;7505751;"(1685, 1, 1)";7743458;"(1685, 1, 1)"
6489896;7505704;"(1683, 1, 1)";7743411;"(1683, 1, 1)"
6489981;7505781;"(1685, 1, 1)";7743488;"(1685, 1, 1)"
6489984;7505782;"(1685, 1, 1)";7743489;"(1685, 1, 1)"
6489986;7505784;"(1685, 1, 1)";7743491;"(1685, 1, 1)"
6489994;7505791;"(1685, 1, 1)";7743498;"(1685, 1, 1)"
6490028;7505821;"(1685, 1, 1)";7743528;"(1685, 1, 1)"
6489999;7505795;"(1685, 1, 1)";7743502;"(1685, 1, 1)"
6490035;7505826;"(1685, 1, 1)";7743533;"(1685, 1, 1)"
6490007;7505803;"(1685, 1, 1)";7743510;"(1685, 1, 1)"
6490010;7505806;"(1685, 1, 1)";7743513;"(1685, 1, 1)"
6490037;7505828;"(1685, 1, 1)";7743535;"(1685, 1, 1)"
6490016;7505811;"(1685, 1, 1)";7743518;"(1685, 1, 1)"
6490124;7505906;"(1634, 6, 18)";7743613;"(1634, 1, 1)"
6490020;7505815;"(1685, 1, 1)";7743522;"(1685, 1, 1)"
6490147;7505926;"(1634, 1, 1)";7743633;"(1634, 1, 1)"
6490165;7505944;"(1634, 9, 1)";7743651;"(1634, 1, 1)"
6490149;7505929;"(1634, 1, 1)";7743636;"(1634, 1, 1)"
6490212;7505986;"(1634, 1, 1)";7743693;"(1634, 1, 1)"
6490184;7505960;"(1634, 9, 30)";7743667;"(1634, 1, 1)"
6490236;7506009;"(1630, 1, 1)";7743716;"(1630, 1, 1)"
6490239;7506012;"(1630, 1, 1)";7743719;"(1630, 1, 1)"
6490263;7506032;"(1630, 1, 1)";7743739;"(1630, 1, 1)"
6490283;7506051;"(1631, 1, 1)";7743758;"(1631, 1, 1)"
6490266;7506035;"(1631, 1, 1)";7743742;"(1631, 1, 1)"
6490286;7506053;"(1631, 1, 1)";7743760;"(1631, 1, 1)"
6490270;7506038;"(1631, 1, 1)";7743745;"(1631, 1, 1)"
6490273;7506041;"(1631, 1, 1)";7743748;"(1631, 1, 1)"
6490274;7506042;"(1631, 1, 1)";7743749;"(1631, 1, 1)"
6490287;7506054;"(1631, 1, 1)";7743761;"(1631, 1, 1)"
6490290;7506057;"(1632, 1, 1)";7743764;"(1632, 1, 1)"
6490296;7506063;"(1632, 1, 1)";7743770;"(1632, 1, 1)"
6490280;7506048;"(1631, 1, 1)";7743755;"(1631, 1, 1)"
6490297;7506064;"(1632, 1, 1)";7743771;"(1632, 1, 1)"
6490301;7506067;"(1633, 1, 1)";7743774;"(1633, 1, 1)"
6490376;7506137;"(1640, 3, 31)";7743844;"(1640, 1, 1)"
6490421;7506177;"(1643, 1, 4)";7743884;"(1643, 1, 1)"
6490425;7506180;"(1635, 1, 1)";7743887;"(1635, 1, 1)"
6490330;7506096;"(1632, 1, 1)";7743803;"(1632, 1, 1)"
6490331;7506097;"(1632, 8, 1)";7743804;"(1632, 1, 1)"
6490332;7506098;"(1633, 1, 1)";7743805;"(1633, 1, 1)"
6490335;7506100;"(1635, 10, 16)";7743807;"(1635, 1, 1)"
6490336;7506101;"(1635, 10, 1)";7743808;"(1635, 1, 1)"
6490341;7506105;"(1636, 1, 1)";7743812;"(1636, 1, 1)"
6490343;7506107;"(1636, 1, 1)";7743814;"(1636, 1, 1)"
6490344;7506108;"(1636, 11, 1)";7743815;"(1636, 1, 1)"
6490348;7506111;"(1637, 10, 1)";7743818;"(1637, 1, 1)"
6490352;7506115;"(1638, 4, 10)";7743822;"(1638, 1, 1)"
6490356;7506118;"(1639, 1, 1)";7743825;"(1639, 1, 1)"
6490380;7506140;"(1640, 7, 1)";7743847;"(1640, 1, 1)"
6490357;7506119;"(1639, 2, 28)";7743826;"(1639, 1, 1)"
6490362;7506123;"(1639, 1, 1)";7743830;"(1639, 1, 1)"
6490384;7506144;"(1640, 11, 1)";7743851;"(1640, 1, 1)"
6490369;7506130;"(1639, 7, 8)";7743837;"(1639, 1, 1)"
6490391;7506150;"(1641, 2, 1)";7743857;"(1641, 1, 1)"
6490397;7506155;"(1641, 4, 1)";7743862;"(1641, 1, 1)"
6490414;7506170;"(1643, 3, 3)";7743877;"(1643, 1, 1)"
6490429;7506184;"(1635, 1, 1)";7743891;"(1635, 1, 1)"
6490434;7506188;"(1635, 1, 1)";7743895;"(1635, 1, 1)"
6490476;7506225;"(1637, 1, 1)";7743933;"(1637, 1, 1)"
6490480;7506229;"(1637, 1, 1)";7743937;"(1637, 1, 1)"
6490449;7506201;"(1633, 1, 1)";7743909;"(1633, 1, 1)"
6490483;7506231;"(1637, 1, 1)";7743939;"(1637, 1, 1)"
6490452;7506203;"(1636, 1, 1)";7743911;"(1636, 1, 1)"
6490492;7506239;"(1638, 1, 1)";7743947;"(1638, 1, 1)"
6490453;7506204;"(1636, 1, 1)";7743912;"(1636, 1, 1)"
6490455;7506206;"(1636, 1, 1)";7743914;"(1636, 1, 1)"
6490456;7506207;"(1636, 1, 1)";7743915;"(1636, 1, 1)"
6490462;7506213;"(1636, 1, 1)";7743921;"(1636, 1, 1)"
6490509;7506255;"(1645, 1, 1)";7743963;"(1645, 1, 1)"
6490467;7506218;"(1637, 1, 1)";7743926;"(1637, 1, 1)"
6490517;7506262;"(1645, 1, 1)";7743970;"(1645, 1, 1)"
6490616;7506351;"(1643, 1, 23)";7744059;"(1643, 1, 1)"
6490620;7506355;"(1643, 1, 1)";7744063;"(1643, 1, 1)"
6490624;7506358;"(1643, 1, 1)";7744066;"(1643, 1, 1)"
6490625;7506359;"(1643, 1, 1)";7744067;"(1643, 1, 1)"
6490662;7506392;"(1644, 1, 10)";7744100;"(1644, 1, 1)"
6490670;7506399;"(1644, 5, 3)";7744107;"(1644, 1, 1)"
6490730;7506453;"(1645, 10, 19)";7744161;"(1645, 1, 1)"
6490671;7506400;"(1644, 1, 1)";7744108;"(1644, 1, 1)"
6490674;7506403;"(1644, 1, 1)";7744111;"(1644, 1, 1)"
6490742;7506464;"(1646, 1, 1)";7744172;"(1646, 1, 1)"
6490725;7506448;"(1645, 8, 13)";7744156;"(1645, 1, 1)"
6490678;7506407;"(1644, 6, 22)";7744115;"(1644, 1, 1)"
6490751;7506471;"(1646, 4, 9)";7744179;"(1646, 1, 1)"
6490684;7506413;"(1644, 10, 5)";7744121;"(1644, 1, 1)"
6490685;7506414;"(1644, 10, 5)";7744122;"(1644, 1, 1)"
6490760;7506479;"(1646, 8, 24)";7744187;"(1646, 1, 1)"
6490699;7506427;"(1645, 1, 3)";7744135;"(1645, 1, 1)"
6490713;7506439;"(1645, 5, 31)";7744147;"(1645, 1, 1)"
6491089;7506771;"(1653, 1, 1)";7744479;"(1653, 1, 1)"
6490993;7506686;"(1651, 1, 1)";7744394;"(1651, 1, 1)"
6491090;7506772;"(1653, 1, 1)";7744480;"(1653, 1, 1)"
6491096;7506778;"(1654, 1, 24)";7744486;"(1654, 1, 1)"
6491005;7506697;"(1652, 2, 3)";7744405;"(1652, 1, 1)"
6491052;7506739;"(1653, 1, 19)";7744447;"(1653, 1, 1)"
6491019;7506710;"(1652, 4, 3)";7744418;"(1652, 1, 1)"
6491102;7506784;"(1654, 1, 1)";7744492;"(1654, 1, 1)"
6491113;7506793;"(1654, 1, 1)";7744501;"(1654, 1, 1)"
6491114;7506794;"(1654, 6, 16)";7744502;"(1654, 1, 1)"
6491198;7506868;"(1656, 2, 8)";7744576;"(1656, 1, 1)"
6491117;7506797;"(1654, 1, 1)";7744505;"(1654, 1, 1)"
6491207;7506876;"(1656, 1, 1)";7744584;"(1656, 1, 1)"
6491210;7506879;"(1656, 7, 9)";7744587;"(1656, 1, 1)"
6491144;7506819;"(1655, 1, 19)";7744527;"(1655, 1, 1)"
6491177;7506848;"(1655, 10, 6)";7744556;"(1655, 1, 1)"
6491149;7506824;"(1655, 1, 1)";7744532;"(1655, 1, 1)"
